city,settle_date,market,forecast_blurred,actual,lo,hi,p_model,p_market,edge,action,entry_price,pnl_per_contract,won_bet
NY,2026-05-06,KXHIGHNY-26MAY06-B67.5,72.31,72.7,67.5,68.5,0.057,0.25,-0.193,NO,0.77,0.22,True
NY,2026-05-07,KXHIGHNY-26MAY07-B64.5,65.87,66.4,64.5,65.5,0.11,0.7,-0.59,NO,0.32,0.66,True
NY,2026-05-08,KXHIGHNY-26MAY08-B66.5,64.44,64.7,66.5,67.5,0.03,0.25,-0.22,NO,0.77,0.22,True
NY,2026-05-08,KXHIGHNY-26MAY08-B64.5,64.44,64.7,64.5,65.5,0.1,0.6,-0.5,NO,0.42,-0.44,False
NY,2026-05-08,KXHIGHNY-26MAY08-B68.5,64.44,64.7,68.5,69.5,0.065,0.2,-0.135,NO,0.82,0.17,True
NY,2026-05-09,KXHIGHNY-26MAY09-B63.5,64.6,65.3,63.5,64.5,0.149,0.24,-0.091,NO,0.78,0.21,True
NY,2026-05-09,KXHIGHNY-26MAY09-B61.5,64.6,65.3,61.5,62.5,0.056,0.19,-0.134,NO,0.83,0.16,True
NY,2026-05-09,KXHIGHNY-26MAY09-B65.5,64.6,65.3,65.5,66.5,0.104,0.51,-0.406,NO,0.51,0.47,True
CHI,2026-04-30,KXHIGHCHI-26APR30-B53.5,55.17,52.5,53.5,54.5,0.091,0.35,-0.259,NO,0.67,0.31,True
CHI,2026-04-30,KXHIGHCHI-26APR30-B55.5,55.17,52.5,55.5,56.5,0.092,0.24,-0.148,NO,0.78,0.21,True
CHI,2026-05-01,KXHIGHCHI-26MAY01-B50.5,50.09,49.1,50.5,51.5,0.098,0.22,-0.122,NO,0.8,0.19,True
CHI,2026-05-01,KXHIGHCHI-26MAY01-B52.5,50.09,49.1,52.5,53.5,0.05,0.24,-0.19,NO,0.78,0.21,True
CHI,2026-05-01,KXHIGHCHI-26MAY01-B48.5,50.09,49.1,48.5,49.5,0.091,0.32,-0.229,NO,0.7,-0.71,False
CHI,2026-05-02,KXHIGHCHI-26MAY02-B53.5,51.03,52.8,53.5,54.5,0.047,0.2,-0.153,NO,0.82,0.17,True
CHI,2026-05-02,KXHIGHCHI-26MAY02-B55.5,51.03,52.8,55.5,56.5,0.003,0.47,-0.467,NO,0.55,0.43,True
CHI,2026-05-02,KXHIGHCHI-26MAY02-B51.5,51.03,52.8,51.5,52.5,0.098,0.2,-0.102,NO,0.82,0.17,True
CHI,2026-05-03,KXHIGHCHI-26MAY03-B66.5,67.24,64.7,66.5,67.5,0.098,0.6,-0.502,NO,0.42,0.56,True
CHI,2026-05-04,KXHIGHCHI-26MAY04-B80.5,78.39,76.4,80.5,81.5,0.073,0.47,-0.397,NO,0.55,0.43,True
CHI,2026-05-04,KXHIGHCHI-26MAY04-B76.5,78.39,76.4,76.5,77.5,0.082,0.24,-0.158,NO,0.78,0.21,True
CHI,2026-05-04,KXHIGHCHI-26MAY04-B78.5,78.39,76.4,78.5,79.5,0.045,0.34,-0.295,NO,0.68,0.3,True
CHI,2026-05-04,KXHIGHCHI-26MAY04-B82.5,78.39,76.4,82.5,83.5,0.016,0.16,-0.144,NO,0.86,0.13,True
CHI,2026-05-05,KXHIGHCHI-26MAY05-B64.5,60.38,60.2,64.5,65.5,0.016,0.2,-0.184,NO,0.82,0.17,True
CHI,2026-05-05,KXHIGHCHI-26MAY05-B62.5,60.38,60.2,62.5,63.5,0.074,0.21,-0.136,NO,0.81,0.18,True
CHI,2026-05-05,KXHIGHCHI-26MAY05-B60.5,60.38,60.2,60.5,61.5,0.045,0.73,-0.685,NO,0.29,0.7,True
