city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
CHI,2026-05-07,KXHIGHCHI-26MAY07-B62.5,58.9,59.6,62.5,63.5,0.0,0.12,-0.12,NO,0.9,False,0.09
CHI,2026-05-07,KXHIGHCHI-26MAY07-B60.5,58.9,59.6,60.5,61.5,0.059,0.87,-0.811,NO,0.15,False,0.84
CHI,2026-05-07,KXHIGHCHI-26MAY07-B64.5,58.9,59.6,64.5,65.5,0.0,0.14,-0.14,NO,0.88,False,0.11
CHI,2026-05-07,KXHIGHCHI-26MAY07-B58.5,58.9,59.6,58.5,59.5,0.125,0.23,-0.105,NO,0.79,False,0.2
CHI,2026-05-08,KXHIGHCHI-26MAY08-B69.5,65.8,67.4,69.5,70.5,0.0,0.2,-0.2,NO,0.82,False,0.17
CHI,2026-05-08,KXHIGHCHI-26MAY08-B65.5,65.8,67.4,65.5,66.5,0.139,0.43,-0.291,NO,0.59,False,0.39
CHI,2026-05-08,KXHIGHCHI-26MAY08-B67.5,65.8,67.4,67.5,68.5,0.053,0.48,-0.427,NO,0.54,False,0.44
CHI,2026-05-09,KXHIGHCHI-26MAY09-B72.5,74.0,73.8,72.5,73.5,0.114,0.54,-0.426,NO,0.48,False,0.5
CHI,2026-05-09,KXHIGHCHI-26MAY09-B74.5,74.0,73.8,74.5,75.5,0.163,0.42,-0.257,NO,0.6,False,0.38
LAX,2026-05-01,KXHIGHLAX-26MAY01-B72.5,69.3,69.9,72.5,73.5,0.029,0.15,-0.121,NO,0.87,False,0.12
LAX,2026-05-01,KXHIGHLAX-26MAY01-B68.5,69.3,69.9,68.5,69.5,0.179,0.28,-0.101,NO,0.74,False,0.25
LAX,2026-05-01,KXHIGHLAX-26MAY01-B70.5,69.3,69.9,70.5,71.5,0.116,0.55,-0.434,NO,0.47,False,0.51
LAX,2026-05-01,KXHIGHLAX-26MAY01-B74.5,69.3,69.9,74.5,75.5,0.0,0.3,-0.3,NO,0.72,False,0.27
LAX,2026-05-02,KXHIGHLAX-26MAY02-B67.5,64.5,66.5,67.5,68.5,0.037,0.34,-0.303,NO,0.68,False,0.3
LAX,2026-05-02,KXHIGHLAX-26MAY02-B71.5,64.5,66.5,71.5,72.5,0.0,0.48,-0.48,NO,0.54,False,0.44
LAX,2026-05-02,KXHIGHLAX-26MAY02-B65.5,64.5,66.5,65.5,66.5,0.128,0.3,-0.172,NO,0.72,False,0.27
LAX,2026-05-03,KXHIGHLAX-26MAY03-B64.5,65.8,62.9,64.5,65.5,0.198,0.45,-0.252,NO,0.57,False,0.41
LAX,2026-05-03,KXHIGHLAX-26MAY03-B70.5,65.8,62.9,70.5,71.5,0.0,0.26,-0.26,NO,0.76,False,0.23
LAX,2026-05-03,KXHIGHLAX-26MAY03-B68.5,65.8,62.9,68.5,69.5,0.049,0.36,-0.311,NO,0.66,False,0.32
LAX,2026-05-03,KXHIGHLAX-26MAY03-B66.5,65.8,62.9,66.5,67.5,0.158,0.65,-0.492,NO,0.37,False,0.61
LAX,2026-05-04,KXHIGHLAX-26MAY04-B66.5,67.7,65.2,66.5,67.5,0.198,0.71,-0.512,NO,0.31,False,0.68
