city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
MIA,2026-04-23,KXHIGHMIA-26APR23-B81.5,77.9,78.1,81.5,82.5,0.0,0.28,-0.28,NO,0.74,False,0.25
MIA,2026-04-24,KXHIGHMIA-26APR24-B78.5,81.7,80.4,78.5,79.5,0.058,0.15,-0.092,NO,0.87,False,0.12
MIA,2026-04-24,KXHIGHMIA-26APR24-B82.5,81.7,80.4,82.5,83.5,0.116,0.4,-0.284,NO,0.62,False,0.36
MIA,2026-04-25,KXHIGHMIA-26APR25-B85.5,84.1,83.1,85.5,86.5,0.048,0.54,-0.492,NO,0.48,False,0.5
MIA,2026-04-25,KXHIGHMIA-26APR25-B83.5,84.1,83.1,83.5,84.5,0.258,0.35,-0.092,NO,0.67,False,0.31
MIA,2026-04-26,KXHIGHMIA-26APR26-B82.5,86.7,85.9,82.5,83.5,0.017,0.12,-0.103,NO,0.9,False,0.09
MIA,2026-04-26,KXHIGHMIA-26APR26-B86.5,86.7,85.9,86.5,87.5,0.259,0.67,-0.411,NO,0.35,False,0.63
MIA,2026-04-27,KXHIGHMIA-26APR27-B85.5,85.7,84.8,85.5,86.5,0.259,0.13,0.129,YES,0.15,False,-0.16
MIA,2026-04-27,KXHIGHMIA-26APR27-B87.5,85.7,84.8,87.5,88.5,0.024,0.51,-0.486,NO,0.51,False,0.47
MIA,2026-04-28,KXHIGHMIA-26APR28-B86.5,85.0,83.8,86.5,87.5,0.044,0.56,-0.516,NO,0.46,False,0.52
MIA,2026-04-29,KXHIGHMIA-26APR29-B83.5,84.5,85.3,83.5,84.5,0.31,0.44,-0.13,NO,0.58,False,0.4
MIA,2026-04-29,KXHIGHMIA-26APR29-B85.5,84.5,85.3,85.5,86.5,0.105,0.58,-0.475,NO,0.44,False,0.54
MIA,2026-04-29,KXHIGHMIA-26APR29-B87.5,84.5,85.3,87.5,88.5,0.013,0.62,-0.607,NO,0.4,False,0.58
AUS,2026-04-23,KXHIGHAUS-26APR23-B81.5,81.4,80.8,81.5,82.5,0.1,0.22,-0.12,NO,0.8,False,0.19
AUS,2026-04-23,KXHIGHAUS-26APR23-B85.5,81.4,80.8,85.5,86.5,0.0,0.32,-0.32,NO,0.7,False,0.29
AUS,2026-04-23,KXHIGHAUS-26APR23-B83.5,81.4,80.8,83.5,84.5,0.024,0.28,-0.256,NO,0.74,False,0.25
AUS,2026-04-24,KXHIGHAUS-26APR24-B89.5,89.6,87.3,89.5,90.5,0.111,0.44,-0.329,NO,0.58,False,0.4
AUS,2026-04-24,KXHIGHAUS-26APR24-B85.5,89.6,87.3,85.5,86.5,0.066,0.2,-0.134,NO,0.82,False,0.17
AUS,2026-04-25,KXHIGHAUS-26APR25-B91.5,89.2,87.0,91.5,92.5,0.017,0.48,-0.463,NO,0.54,False,0.44
AUS,2026-04-25,KXHIGHAUS-26APR25-B89.5,89.2,87.0,89.5,90.5,0.074,0.2,-0.126,NO,0.82,False,0.17
AUS,2026-04-26,KXHIGHAUS-26APR26-B89.5,86.9,85.2,89.5,90.5,0.005,0.15,-0.145,NO,0.87,False,0.12
AUS,2026-04-26,KXHIGHAUS-26APR26-B91.5,86.9,85.2,91.5,92.5,0.0,0.22,-0.22,NO,0.8,False,0.19
AUS,2026-04-26,KXHIGHAUS-26APR26-B93.5,86.9,85.2,93.5,94.5,0.0,0.2,-0.2,NO,0.82,False,0.17
AUS,2026-04-27,KXHIGHAUS-26APR27-B91.5,88.3,87.4,91.5,92.5,0.0,0.53,-0.53,NO,0.49,False,0.49
AUS,2026-04-27,KXHIGHAUS-26APR27-B93.5,88.3,87.4,93.5,94.5,0.0,0.25,-0.25,NO,0.77,False,0.22
AUS,2026-04-28,KXHIGHAUS-26APR28-B92.5,90.5,88.9,92.5,93.5,0.028,0.43,-0.402,NO,0.59,False,0.39
AUS,2026-04-28,KXHIGHAUS-26APR28-B94.5,90.5,88.9,94.5,95.5,0.0,0.23,-0.23,NO,0.79,False,0.2
AUS,2026-04-29,KXHIGHAUS-26APR29-B83.5,81.2,80.0,83.5,84.5,0.017,0.13,-0.113,NO,0.89,False,0.1
NY,2026-04-30,KXHIGHNY-26APR30-B63.5,59.9,59.8,63.5,64.5,0.04,0.28,-0.24,NO,0.74,False,0.25
NY,2026-05-01,KXHIGHNY-26MAY01-B66.5,65.4,64.9,66.5,67.5,0.09,0.32,-0.23,NO,0.7,False,0.29
NY,2026-05-01,KXHIGHNY-26MAY01-B64.5,65.4,64.9,64.5,65.5,0.201,0.54,-0.339,NO,0.48,True,-0.5
NY,2026-05-02,KXHIGHNY-26MAY02-B64.5,61.6,59.3,64.5,65.5,0.083,0.58,-0.497,NO,0.44,False,0.54
NY,2026-05-02,KXHIGHNY-26MAY02-B58.5,61.6,59.3,58.5,59.5,0.121,0.23,-0.109,NO,0.79,True,-0.8
NY,2026-05-02,KXHIGHNY-26MAY02-B60.5,61.6,59.3,60.5,61.5,0.138,0.64,-0.502,NO,0.38,False,0.6
NY,2026-05-03,KXHIGHNY-26MAY03-B59.5,60.7,57.7,59.5,60.5,0.139,0.79,-0.651,NO,0.23,False,0.76
NY,2026-05-04,KXHIGHNY-26MAY04-B76.5,74.5,75.5,76.5,77.5,0.109,0.24,-0.131,NO,0.78,False,0.21
NY,2026-05-04,KXHIGHNY-26MAY04-B72.5,74.5,75.5,72.5,73.5,0.098,0.78,-0.682,NO,0.24,False,0.75
NY,2026-05-05,KXHIGHNY-26MAY05-B81.5,84.8,84.4,81.5,82.5,0.102,0.23,-0.128,NO,0.79,False,0.2
NY,2026-05-05,KXHIGHNY-26MAY05-B79.5,84.8,84.4,79.5,80.5,0.028,0.37,-0.342,NO,0.65,False,0.33
NY,2026-05-06,KXHIGHNY-26MAY06-B69.5,69.7,72.7,69.5,70.5,0.191,0.46,-0.269,NO,0.56,False,0.42
NY,2026-05-06,KXHIGHNY-26MAY06-B71.5,69.7,72.7,71.5,72.5,0.082,0.59,-0.508,NO,0.43,False,0.55
NY,2026-05-06,KXHIGHNY-26MAY06-B67.5,69.7,72.7,67.5,68.5,0.12,0.25,-0.13,NO,0.77,False,0.22
NY,2026-05-07,KXHIGHNY-26MAY07-B64.5,65.2,66.4,64.5,65.5,0.225,0.7,-0.475,NO,0.32,False,0.66
NY,2026-05-08,KXHIGHNY-26MAY08-B66.5,62.4,64.7,66.5,67.5,0.006,0.25,-0.244,NO,0.77,False,0.22
NY,2026-05-08,KXHIGHNY-26MAY08-B64.5,62.4,64.7,64.5,65.5,0.12,0.6,-0.48,NO,0.42,True,-0.44
NY,2026-05-08,KXHIGHNY-26MAY08-B68.5,62.4,64.7,68.5,69.5,0.0,0.2,-0.2,NO,0.82,False,0.17
NY,2026-05-09,KXHIGHNY-26MAY09-B65.5,64.4,65.3,65.5,66.5,0.09,0.51,-0.42,NO,0.51,False,0.47
CHI,2026-04-30,KXHIGHCHI-26APR30-B53.5,54.3,52.5,53.5,54.5,0.148,0.35,-0.202,NO,0.67,False,0.31
CHI,2026-04-30,KXHIGHCHI-26APR30-B57.5,54.3,52.5,57.5,58.5,0.0,0.13,-0.13,NO,0.89,False,0.1
CHI,2026-04-30,KXHIGHCHI-26APR30-B55.5,54.3,52.5,55.5,56.5,0.089,0.24,-0.151,NO,0.78,False,0.21
CHI,2026-05-01,KXHIGHCHI-26MAY01-B50.5,48.2,49.1,50.5,51.5,0.029,0.22,-0.191,NO,0.8,False,0.19
CHI,2026-05-01,KXHIGHCHI-26MAY01-B52.5,48.2,49.1,52.5,53.5,0.0,0.24,-0.24,NO,0.78,False,0.21
CHI,2026-05-01,KXHIGHCHI-26MAY01-B48.5,48.2,49.1,48.5,49.5,0.138,0.32,-0.182,NO,0.7,True,-0.71
CHI,2026-05-02,KXHIGHCHI-26MAY02-B55.5,55.4,52.8,55.5,56.5,0.143,0.47,-0.327,NO,0.55,False,0.43
CHI,2026-05-02,KXHIGHCHI-26MAY02-B51.5,55.4,52.8,51.5,52.5,0.068,0.2,-0.132,NO,0.82,False,0.17
CHI,2026-05-03,KXHIGHCHI-26MAY03-B66.5,68.2,64.7,66.5,67.5,0.143,0.6,-0.457,NO,0.42,False,0.56
CHI,2026-05-04,KXHIGHCHI-26MAY04-B80.5,79.8,76.4,80.5,81.5,0.155,0.47,-0.315,NO,0.55,False,0.43
CHI,2026-05-04,KXHIGHCHI-26MAY04-B78.5,79.8,76.4,78.5,79.5,0.12,0.34,-0.22,NO,0.68,False,0.3
CHI,2026-05-04,KXHIGHCHI-26MAY04-B82.5,79.8,76.4,82.5,83.5,0.007,0.16,-0.153,NO,0.86,False,0.13
CHI,2026-05-05,KXHIGHCHI-26MAY05-B64.5,62.3,60.2,64.5,65.5,0.033,0.2,-0.167,NO,0.82,False,0.17
CHI,2026-05-05,KXHIGHCHI-26MAY05-B60.5,62.3,60.2,60.5,61.5,0.15,0.73,-0.58,NO,0.29,False,0.7
CHI,2026-05-05,KXHIGHCHI-26MAY05-B58.5,62.3,60.2,58.5,59.5,0.081,0.32,-0.239,NO,0.7,False,0.29
CHI,2026-05-06,KXHIGHCHI-26MAY06-B55.5,58.0,56.1,55.5,56.5,0.225,0.13,0.095,YES,0.15,True,0.84
CHI,2026-05-06,KXHIGHCHI-26MAY06-B57.5,58.0,56.1,57.5,58.5,0.13,0.6,-0.47,NO,0.42,False,0.56
CHI,2026-05-06,KXHIGHCHI-26MAY06-B59.5,58.0,56.1,59.5,60.5,0.064,0.25,-0.186,NO,0.77,False,0.22
