settle_date,ticker,side,entry_price,contracts,result,settle_price,pnl_dollars,source_workflow
2026-06-04,KXHIGHAUS-26JUN04-B84.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-04,KXHIGHMIA-26JUN04-B85.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-04,KXHIGHCHI-26JUN04-B86.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-04,KXHIGHCHI-26JUN04-B88.5,no,0.0,0,no,1.0,0.0,midday
2026-06-04,KXHIGHNY-26JUN04-B84.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHLAX-26JUN05-B71.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHLAX-26JUN05-B71.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHNY-26JUN05-B87.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-05,KXHIGHAUS-26JUN05-B87.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-05,KXHIGHLAX-26JUN05-B69.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-05,KXHIGHNY-26JUN05-B89.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHAUS-26JUN05-B85.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHLAX-26JUN05-B69.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-05,KXHIGHMIA-26JUN05-B85.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-05,KXHIGHLAX-26JUN05-B73.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHLAX-26JUN05-B71.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHNY-26JUN05-B89.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHNY-26JUN05-B91.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-05,KXHIGHNY-26JUN05-B91.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-04,KXHIGHLAX-26JUN04-B70.5,no,0.0,0,no,1.0,0.0,midday
2026-06-04,KXHIGHLAX-26JUN04-B72.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-04,KXHIGHLAX-26JUN04-B70.5,no,0.0,0,no,1.0,0.0,midday
2026-06-04,KXHIGHLAX-26JUN04-B72.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-06,KXHIGHNY-26JUN06-B87.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-06,KXHIGHMIA-26JUN06-B87.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-06,KXHIGHCHI-26JUN06-B87.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-06,KXHIGHNY-26JUN06-B87.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-06,KXHIGHMIA-26JUN06-B85.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-06,KXHIGHLAX-26JUN06-B69.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-06,KXHIGHCHI-26JUN06-B87.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-06,KXHIGHAUS-26JUN06-B88.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-06,KXHIGHNY-26JUN06-B91.5,yes,0.0,0,no,0.0,-0.0,midday
